Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
99,Vichada,99000,Vichada,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.3,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
99,Vichada,99001,Puerto Carreño,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.19,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
99,Vichada,99773,Cumaribo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,101.74,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
99,Vichada,99524,La Primavera,Educación,Acceso a la educación,Cobertura bruta en educación - Total,68.32,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
99,Vichada,99624,Santa Rosalía,Educación,Acceso a la educación,Cobertura bruta en educación - Total,83.86,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
97,Vaupés,97000,Vaupés,Educación,Acceso a la educación,Cobertura bruta en educación - Total,66.88,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
97,Vaupés,97001,Mitú,Educación,Acceso a la educación,Cobertura bruta en educación - Total,66.23,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
97,Vaupés,97666,Taraira,Educación,Acceso a la educación,Cobertura bruta en educación - Total,101.18,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
97,Vaupés,97161,Carurú,Educación,Acceso a la educación,Cobertura bruta en educación - Total,86.92,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
95,Guaviare,95001,San José del Guaviare,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.47,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
95,Guaviare,95015,Calamar,Educación,Acceso a la educación,Cobertura bruta en educación - Total,47.85,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
95,Guaviare,95025,El Retorno,Educación,Acceso a la educación,Cobertura bruta en educación - Total,72.48,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
95,Guaviare,95200,Miraflores,Educación,Acceso a la educación,Cobertura bruta en educación - Total,64.06,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
95,Guaviare,95000,Guaviare,Educación,Acceso a la educación,Cobertura bruta en educación - Total,74.79,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
94,Guainía,94001,Inírida,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.38,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
94,Guainía,94000,Guainía,Educación,Acceso a la educación,Cobertura bruta en educación - Total,74.56,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
91,Amazonas,91000,Amazonas,Educación,Acceso a la educación,Cobertura bruta en educación - Total,83.11,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
91,Amazonas,91001,Leticia,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.14,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
91,Amazonas,91540,Puerto Nariño,Educación,Acceso a la educación,Cobertura bruta en educación - Total,83.01,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
88,San Andrés y Providencia,88564,Providencia,Educación,Acceso a la educación,Cobertura bruta en educación - Total,81.85,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86000,Putumayo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,91.17,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86001,Mocoa,Educación,Acceso a la educación,Cobertura bruta en educación - Total,120.7,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86219,Colón,Educación,Acceso a la educación,Cobertura bruta en educación - Total,80.54,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86320,Orito,Educación,Acceso a la educación,Cobertura bruta en educación - Total,88.91,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86568,Puerto Asís,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.89,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86569,Puerto Caicedo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,74.32,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86571,Puerto Guzmán,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.79,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86573,Puerto Leguízamo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,137.7,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86749,Sibundoy,Educación,Acceso a la educación,Cobertura bruta en educación - Total,105.07,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86755,San Francisco,Educación,Acceso a la educación,Cobertura bruta en educación - Total,75.28,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
88,San Andrés y Providencia,88000,San Andrés y Providencia,Educación,Acceso a la educación,Cobertura bruta en educación - Total,79.55,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86757,San Miguel,Educación,Acceso a la educación,Cobertura bruta en educación - Total,60.51,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86760,Santiago,Educación,Acceso a la educación,Cobertura bruta en educación - Total,65.55,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86865,Valle del Guamuez,Educación,Acceso a la educación,Cobertura bruta en educación - Total,75.01,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
86,Putumayo,86885,Villagarzón,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.7,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85000,Casanare,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.9,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85001,Yopal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.21,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85010,Aguazul,Educación,Acceso a la educación,Cobertura bruta en educación - Total,105.01,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85015,Chámeza,Educación,Acceso a la educación,Cobertura bruta en educación - Total,80.65,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85125,Hato Corozal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.87,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85136,La Salina,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.38,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85139,Maní,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.76,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85162,Monterrey,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.95,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85225,Nunchía,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.64,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
