codigo_depto,depto,cod_entidad,entidad,anualidad,matematicas,lectura
27,Chocó,27810,Unión Panamericana,2010,42.28,43.59
27,Chocó,27250,El Litoral del San Juan,2010,40.3,42.39
27,Chocó,27361,Istmina,2010,44.38,46.35
27,Chocó,27372,Juradó,2010,44.81,42.04
27,Chocó,27413,Lloró,2010,41.9,44.47
27,Chocó,27425,Medio Atrato,2010,39.98,41.57
27,Chocó,27430,Medio Baudó,2010,44.31,42.36
27,Chocó,27450,Medio San Juan,2010,42.49,46.98
27,Chocó,27491,Nóvita,2010,42.9,44.02
27,Chocó,27495,Nuquí,2010,44.29,46.24
27,Chocó,27580,Río Iró,2010,43.87,42.7
27,Chocó,27600,Río Quito,2010,41.15,46.34
27,Chocó,27615,Riosucio,2010,43.67,43.55
27,Chocó,27660,San José del Palmar,2010,46.9,51.02
27,Chocó,27745,Sipí,2010,36.99,33.55
27,Chocó,27787,Tadó,2010,44.07,44.28
27,Chocó,27800,Unguía,2010,44.83,46.83
27,Chocó,27000,Chocó,2010,43.96,45.75
27,Chocó,27001,Quibdó,2010,44.46,46.36
27,Chocó,27006,Acandí,2010,46.34,46.51
27,Chocó,27025,Alto Baudó,2010,39.26,38.25
27,Chocó,27050,Atrato,2010,43.2,46.25
27,Chocó,27073,Bagadó,2010,40.9,43.52
27,Chocó,27075,Bahía Solano,2010,44.73,47.68
27,Chocó,27077,Bajo Baudó,2010,43.69,44.5
27,Chocó,27099,Bojayá,2010,44.34,42.51
27,Chocó,27135,El Cantón del San Pablo,2010,42.99,43.07
27,Chocó,27150,Carmen del Darién,2010,41.09,42.63
27,Chocó,27160,Cértegui,2010,40.48,45.08
27,Chocó,27205,Condoto,2010,43.68,46.77
27,Chocó,27245,El Carmen de Atrato,2010,49.13,50.1
44,La Guajira,44874,Villanueva,2010,47.38,46.53
44,La Guajira,44847,Uribia,2010,43.86,44.57
44,La Guajira,44855,Urumita,2010,46.96,47.19
44,La Guajira,44420,La Jagua del Pilar,2010,45.42,43.16
44,La Guajira,44430,Maicao,2010,47.03,46.78
44,La Guajira,44560,Manaure,2010,45.53,44.64
44,La Guajira,44650,San Juan del Cesar,2010,49.32,48.25
44,La Guajira,44000,La Guajira,2010,46.94,46.94
44,La Guajira,44001,Riohacha,2010,47.01,47.34
44,La Guajira,44035,Albania,2010,49.27,48.3
44,La Guajira,44078,Barrancas,2010,47.24,47.28
44,La Guajira,44090,Dibulla,2010,43.49,44.96
44,La Guajira,44098,Distracción,2010,44.71,47.4
44,La Guajira,44110,El Molino,2010,44.81,43.5
44,La Guajira,44279,Fonseca,2010,46.99,47.43
44,La Guajira,44378,Hatonuevo,2010,45.23,46.49
41,Huila,41000,Huila,2010,50.84,50.09
41,Huila,41001,Neiva,2010,53.01,51.76
41,Huila,41006,Acevedo,2010,46.48,46.07
41,Huila,41013,Agrado,2010,46.93,47.69
41,Huila,41016,Aipe,2010,47.83,47.98
41,Huila,41020,Algeciras,2010,48.62,48.73
41,Huila,41026,Altamira,2010,50.63,51.08
41,Huila,41078,Baraya,2010,46.95,50.55
41,Huila,41132,Campoalegre,2010,49.2,48.16
41,Huila,41206,Colombia,2010,50.07,48.45
41,Huila,41801,Teruel,2010,47.12,47.62
41,Huila,41807,Timaná,2010,47.74,49.07
41,Huila,41872,Villavieja,2010,46.85,44.53
41,Huila,41885,Yaguará,2010,47.55,47.95
41,Huila,41615,Rivera,2010,50.16,48.51
41,Huila,41660,Saladoblanco,2010,47.87,46.96
41,Huila,41668,San Agustín,2010,50.16,49.34
41,Huila,41676,Santa María,2010,50.97,50.22
41,Huila,41770,Suaza,2010,46.84,47.78
41,Huila,41791,Tarqui,2010,46.94,47.63
41,Huila,41797,Tesalia,2010,47.88,49.08
41,Huila,41799,Tello,2010,48.68,47.77
41,Huila,41244,Elías,2010,50.13,48.72
41,Huila,41298,Garzón,2010,50.89,50.09
41,Huila,41306,Gigante,2010,49.19,49.3
41,Huila,41319,Guadalupe,2010,47.45,46.81
41,Huila,41349,Hobo,2010,50.21,48.94
41,Huila,41357,Iquira,2010,50.3,49.73
41,Huila,41359,Isnos,2010,47.42,47.89
41,Huila,41378,La Argentina,2010,47.73,48.82
41,Huila,41396,La Plata,2010,50.62,50.29
41,Huila,41483,Nátaga,2010,51.31,51.09
41,Huila,41503,Oporapa,2010,48.4,48.58
41,Huila,41518,Paicol,2010,55.3,50.4
41,Huila,41524,Palermo,2010,51.2,48.41
41,Huila,41530,Palestina,2010,47.9,48.27
41,Huila,41548,Pital,2010,47.38,47.92
41,Huila,41551,Pitalito,2010,50.74,50.17
47,Magdalena,47000,Magdalena,2010,46.2,46.75
47,Magdalena,47001,Santa Marta,2010,47.16,48.03
47,Magdalena,47030,Algarrobo,2010,43.63,44.46
47,Magdalena,47053,Aracataca,2010,45.74,45.42
47,Magdalena,47058,Ariguaní,2010,45.45,45.59
47,Magdalena,47161,Cerro San Antonio,2010,41.18,45.91
47,Magdalena,47170,Chibolo,2010,45.58,45.07
47,Magdalena,47189,Ciénaga,2010,46.56,46.14
47,Magdalena,47205,Concordia,2010,43.49,44.95
47,Magdalena,47245,El Banco,2010,46.36,46.28
47,Magdalena,47258,El Piñón,2010,43.02,44.77
47,Magdalena,47268,El Retén,2010,44.63,45.05
47,Magdalena,47288,Fundación,2010,48.21,47.31
47,Magdalena,47318,Guamal,2010,45.16,45.4
47,Magdalena,47460,Nueva Granada,2010,44.2,44.82
47,Magdalena,47541,Pedraza,2010,42.88,45.28
47,Magdalena,47545,Pijiño del Carmen,2010,45.86,44.9
47,Magdalena,47551,Pivijay,2010,47.23,48.1
47,Magdalena,47555,Plato,2010,45.29,46.22
47,Magdalena,47570,Puebloviejo,2010,43.65,43.68
47,Magdalena,47605,Remolino,2010,42.27,44.55
47,Magdalena,47660,Sabanas de San Ángel,2010,43.69,44.97
47,Magdalena,47675,Salamina,2010,45.24,47.62
47,Magdalena,47692,San Sebastián de Buenavista,2010,45.39,45.25
47,Magdalena,47703,San Zenón,2010,43.96,45.52
47,Magdalena,47960,Zapayán,2010,44.74,45.14
47,Magdalena,47980,Zona Bananera,2010,43.7,44.9
47,Magdalena,47707,Santa Ana,2010,44.37,45.51
47,Magdalena,47720,Santa Bárbara de Pinto,2010,45.1,44.36
47,Magdalena,47745,Sitionuevo,2010,45.6,46.39
47,Magdalena,47798,Tenerife,2010,44.92,45.49
50,Meta,50711,Vistahermosa,2010,49.05,48.48
50,Meta,50686,San Juanito,2010,47.05,51.04
50,Meta,50689,San Martín,2010,49.53,49.57
50,Meta,50287,Fuente de Oro,2010,47.42,47.71
50,Meta,50313,Granada,2010,48.79,48.3
50,Meta,50318,Guamal,2010,48.64,48.09
50,Meta,50325,Mapiripán,2010,43.84,45.34
50,Meta,50330,Mesetas,2010,50.31,47.65
50,Meta,50350,La Macarena,2010,48.22,49.36
50,Meta,50370,Uribe,2010,47.46,51.16
50,Meta,50400,Lejanías,2010,50.2,48.56
50,Meta,50450,Puerto Concordia,2010,44.84,46.01
50,Meta,50568,Puerto Gaitán,2010,46.43,46.61
50,Meta,50573,Puerto López,2010,49.42,48.03
50,Meta,50577,Puerto Lleras,2010,47.35,46.78
50,Meta,50590,Puerto Rico,2010,48.41,46.37
50,Meta,50606,Restrepo,2010,51.18,50.38
50,Meta,50680,San Carlos de Guaroa,2010,46.73,47.07
50,Meta,50683,San Juan de Arama,2010,48.1,47.91
50,Meta,50000,Meta,2010,50.2,49.5
50,Meta,50001,Villavicencio,2010,50.89,50.12
50,Meta,50006,Acacías,2010,50.58,49.53
50,Meta,50110,Barranca de Upía,2010,48.77,47.76
50,Meta,50124,Cabuyaro,2010,47.13,47.39
50,Meta,50150,Castilla La Nueva,2010,49.43,49.03
50,Meta,50223,Cubarral,2010,49.26,48.77
50,Meta,50226,Cumaral,2010,50.0,49.01
50,Meta,50245,El Calvario,2010,47.68,49.31
50,Meta,50251,El Castillo,2010,45.67,46.56
50,Meta,50270,El Dorado,2010,49.13,49.5
52,Nariño,52000,Nariño,2010,50.96,50.42
52,Nariño,52001,Pasto,2010,53.25,52.8
52,Nariño,52019,Albán,2010,50.17,48.67
52,Nariño,52022,Aldana,2010,51.37,52.43
52,Nariño,52036,Ancuyá,2010,51.67,50.98
52,Nariño,52051,Arboleda,2010,49.31,48.97
52,Nariño,52079,Barbacoas,2010,42.46,45.64
52,Nariño,52083,Belén,2010,56.89,55.27
52,Nariño,52110,Buesaco,2010,50.9,49.68
52,Nariño,52203,Colón,2010,66.78,56.33
52,Nariño,52207,Consacá,2010,52.53,49.9
52,Nariño,52210,Contadero,2010,52.58,48.24
52,Nariño,52215,Córdoba,2010,46.81,45.98
52,Nariño,52224,Cuaspud,2010,47.72,48.43
52,Nariño,52227,Cumbal,2010,48.67,48.13
52,Nariño,52233,Cumbitara,2010,48.74,49.27
52,Nariño,52240,Chachagüí,2010,51.97,52.38
52,Nariño,52250,El Charco,2010,44.48,44.88
52,Nariño,52254,El Peñol,2010,47.83,49.32
52,Nariño,52256,El Rosario,2010,48.2,49.22
52,Nariño,52258,El Tablón de Gómez,2010,51.8,51.73
52,Nariño,52260,El Tambo,2010,53.44,51.84
52,Nariño,52287,Funes,2010,49.0,47.31
52,Nariño,52317,Guachucal,2010,56.54,49.12
52,Nariño,52320,Guaitarilla,2010,51.3,50.14
52,Nariño,52323,Gualmatán,2010,50.57,49.46
52,Nariño,52352,Iles,2010,48.87,49.44
52,Nariño,52354,Imués,2010,48.94,47.85
52,Nariño,52356,Ipiales,2010,50.63,50.57
52,Nariño,52378,La Cruz,2010,53.48,50.22
52,Nariño,52381,La Florida,2010,53.67,51.55
52,Nariño,52385,La Llanada,2010,50.21,50.13
52,Nariño,52390,La Tola,2010,44.01,44.02
52,Nariño,52399,La Unión,2010,53.57,52.07
