Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
27,Chocó,27810,Unión Panamericana,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.28,,2010,12,ICFES,Puntos
27,Chocó,27250,El Litoral del San Juan,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,40.3,,2010,12,ICFES,Puntos
27,Chocó,27361,Istmina,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.38,,2010,12,ICFES,Puntos
27,Chocó,27372,Juradó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.81,,2010,12,ICFES,Puntos
27,Chocó,27413,Lloró,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,41.9,,2010,12,ICFES,Puntos
27,Chocó,27425,Medio Atrato,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,39.98,,2010,12,ICFES,Puntos
27,Chocó,27430,Medio Baudó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.31,,2010,12,ICFES,Puntos
27,Chocó,27450,Medio San Juan,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.49,,2010,12,ICFES,Puntos
27,Chocó,27491,Nóvita,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.9,,2010,12,ICFES,Puntos
27,Chocó,27495,Nuquí,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.29,,2010,12,ICFES,Puntos
27,Chocó,27580,Río Iró,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.87,,2010,12,ICFES,Puntos
27,Chocó,27600,Río Quito,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,41.15,,2010,12,ICFES,Puntos
27,Chocó,27615,Riosucio,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.67,,2010,12,ICFES,Puntos
27,Chocó,27660,San José del Palmar,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.9,,2010,12,ICFES,Puntos
27,Chocó,27745,Sipí,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,36.99,,2010,12,ICFES,Puntos
27,Chocó,27787,Tadó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.07,,2010,12,ICFES,Puntos
27,Chocó,27800,Unguía,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.83,,2010,12,ICFES,Puntos
27,Chocó,27000,Chocó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.96,,2010,12,ICFES,Puntos
27,Chocó,27001,Quibdó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.46,,2010,12,ICFES,Puntos
27,Chocó,27006,Acandí,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.34,,2010,12,ICFES,Puntos
27,Chocó,27025,Alto Baudó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,39.26,,2010,12,ICFES,Puntos
27,Chocó,27050,Atrato,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.2,,2010,12,ICFES,Puntos
27,Chocó,27073,Bagadó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,40.9,,2010,12,ICFES,Puntos
27,Chocó,27075,Bahía Solano,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.73,,2010,12,ICFES,Puntos
27,Chocó,27077,Bajo Baudó,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.69,,2010,12,ICFES,Puntos
27,Chocó,27099,Bojayá,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.34,,2010,12,ICFES,Puntos
27,Chocó,27135,El Cantón del San Pablo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.99,,2010,12,ICFES,Puntos
27,Chocó,27150,Carmen del Darién,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,41.09,,2010,12,ICFES,Puntos
27,Chocó,27160,Cértegui,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,40.48,,2010,12,ICFES,Puntos
27,Chocó,27205,Condoto,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.68,,2010,12,ICFES,Puntos
27,Chocó,27245,El Carmen de Atrato,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.13,,2010,12,ICFES,Puntos
44,La Guajira,44874,Villanueva,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.38,,2010,12,ICFES,Puntos
44,La Guajira,44847,Uribia,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.86,,2010,12,ICFES,Puntos
44,La Guajira,44855,Urumita,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.96,,2010,12,ICFES,Puntos
44,La Guajira,44420,La Jagua del Pilar,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.42,,2010,12,ICFES,Puntos
44,La Guajira,44430,Maicao,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.03,,2010,12,ICFES,Puntos
44,La Guajira,44560,Manaure,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.53,,2010,12,ICFES,Puntos
44,La Guajira,44650,San Juan del Cesar,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.32,,2010,12,ICFES,Puntos
44,La Guajira,44000,La Guajira,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.94,,2010,12,ICFES,Puntos
44,La Guajira,44001,Riohacha,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.01,,2010,12,ICFES,Puntos
44,La Guajira,44035,Albania,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.27,,2010,12,ICFES,Puntos
