Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
1,Colombia,1001,Colombia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,39.71,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5000,Antioquia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,42.71,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5001,Medellín,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,54.35,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5002,Abejorral,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,34.25,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5004,Abriaquí,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,20.0,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5021,Alejandría,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,51.61,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5030,Amagá,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,22.78,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5031,Amalfi,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,24.14,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5034,Andes,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,22.19,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5036,Angelópolis,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,27.78,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5038,Angostura,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,5.49,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5040,Anorí,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,6.25,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5042,Santafé de Antioquia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,26.35,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5044,Anzá,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,26.32,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5045,Apartadó,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,42.72,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5051,Arboletes,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,16.14,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5055,Argelia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,18.0,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5059,Armenia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,13.33,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5079,Barbosa,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,23.91,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5086,Belmira,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,12.82,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5088,Bello,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,44.08,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5091,Betania,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,42.42,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5093,Betulia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,12.35,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5101,Ciudad Bolívar,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,26.09,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5107,Briceño,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,8.57,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5113,Buriticá,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,33.33,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5120,Cáceres,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,33.51,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5125,Caicedo,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,9.26,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5129,Caldas,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,49.88,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5134,Campamento,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,7.69,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5138,Cañasgordas,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,18.12,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5142,Caracolí,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,30.43,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5145,Caramanta,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,22.92,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5147,Carepa,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,38.3,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5148,El Carmen de Viboral,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,46.2,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5150,Carolina,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,27.27,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5154,Caucasia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,45.53,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5172,Chigorodó,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,33.07,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5190,Cisneros,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,35.11,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5197,Cocorná,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,28.8,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5206,Concepción,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,30.77,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5209,Concordia,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,8.75,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5212,Copacabana,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,52.72,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5234,Dabeiba,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,16.36,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5237,Don Matías,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,15.38,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5240,Ebéjico,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,12.04,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
5,Antioquia,5250,El Bagre,Educación,Acceso a la educación,Tasa de tránsito inmediato a la educación superior,22.74,,2019,12,Ministerio de Educación Nacional (MEN),Porcentaje
